Simulation	RV_Cond_1[m/s]	RV_Cond_2[m/s]	RV_Cond_3[m/s]
M3-Y-10.0-80k	 21.90	 22.60	 22.10
M3-Y-10.0-100k	 18.70	 19.30	 18.90
M3-J-1.0-60k	 13.80	 47.50	 14.60
M3-J-1.0-80k	  9.00	 31.00	  9.50
M3-J-1.0-100k	  6.60	 22.90	  7.00
M3-J-5.0-60k	 21.40	 70.50	 22.60
M3-J-5.0-80k	 16.50	 54.30	 17.50
M3-J-5.0-100k	 13.90	 45.60	 14.70
M3-J-10.0-60k	 38.40	116.40	 40.80
M3-J-10.0-80k	 31.80	 95.80	 33.70
M3-J-10.0-100k	 27.70	 83.70	 29.40
M3-H-1.0-60k	  7.20	  7.70	  7.40
M3-H-1.0-80k	  5.10	  5.50	  5.30
M3-H-1.0-100k	  4.10	  4.30	  4.20
M3-H-5.0-60k	 10.20	 10.80	 10.40
M3-H-5.0-80k	  8.00	  8.50	  8.20
M3-H-5.0-100k	  6.80	  7.20	  7.00
M3-H-10.0-60k	 17.40	 18.40	 17.90
M3-H-10.0-80k	 14.50	 15.30	 14.90
M3-H-10.0-100k	 12.70	 13.40	 13.00
M3-K-1.0-60k	 12.50	 14.10	 13.30
M3-K-1.0-80k	  8.40	  9.50	  9.00
M3-K-1.0-100k	  6.50	  7.30	  6.90
M3-K-5.0-60k	 19.30	 22.00	 20.60
M3-K-5.0-80k	 14.90	 16.90	 15.90
M3-K-5.0-100k	 12.50	 14.20	 13.40
M3-K-10.0-60k	 36.10	 41.00	 38.50
M3-K-10.0-80k	 29.90	 33.90	 31.90
M3-K-10.0-100k	 26.10	 29.60	 27.90
M6-Z-1.0-60k	  3.90	 11.30	  4.00
M6-Z-1.0-80k	  2.40	  6.80	  2.50
M6-Z-1.0-100k	  1.70	  4.70	  1.70
M6-Z-5.0-60k	  6.90	 20.30	  7.20
M6-Z-5.0-80k	  5.20	 15.30	  5.40
M6-Z-5.0-100k	  4.30	 12.70	  4.50
M6-Z-10.0-60k	 14.40	 39.50	 15.00
M6-Z-10.0-80k	 11.80	 32.30	 12.30
M6-Z-10.0-100k	 10.20	 28.00	 10.60
M6-Y-1.0-60k	  5.20	  5.40	  5.30
M6-Y-1.0-80k	  3.40	  3.50	  3.40
M6-Y-1.0-100k	  2.40	  2.50	  2.50
M6-Y-5.0-60k	  8.30	  8.60	  8.40
M6-Y-5.0-80k	  6.40	  6.60	  6.50
M6-Y-5.0-100k	  5.40	  5.50	  5.50
M6-Y-10.0-60k	 14.40	 14.80	 14.60
M6-Y-10.0-80k	 11.90	 12.30	 12.10
M6-Y-10.0-100k	 10.30	 10.60	 10.50
M6-J-1.0-60k	  7.90	 26.50	  8.30
M6-J-1.0-80k	  5.00	 16.80	  5.30
M6-J-1.0-100k	  3.60	 12.10	  3.90
M6-J-5.0-60k	 12.90	 42.70	 13.70
M6-J-5.0-80k	  9.90	 32.90	 10.50
M6-J-5.0-100k	  8.30	 27.60	  8.80
M6-J-10.0-60k	 23.80	 76.00	 25.20
M6-J-10.0-80k	 19.70	 62.60	 20.90
M6-J-10.0-100k	 17.20	 54.50	 18.20
M6-H-1.0-60k	  6.00	  6.50	  6.20
M6-H-1.0-80k	  4.10	  4.40	  4.20
M6-H-1.0-100k	  3.10	  3.40	  3.20
M6-H-5.0-60k	  9.40	 10.20	  9.70
M6-H-5.0-80k	  7.30	  7.90	  7.60
M6-H-5.0-100k	  6.20	  6.70	  6.40
M6-H-10.0-60k	 17.50	 18.90	 18.10
M6-H-10.0-80k	 14.50	 15.60	 15.00
M6-H-10.0-100k	 12.60	 13.60	 13.10
M6-K-1.0-60k	  7.40	  8.30	  7.90
M6-K-1.0-80k	  5.00	  5.60	  5.30
M6-K-1.0-100k	  3.80	  4.30	  4.10
M6-K-5.0-60k	 11.80	 13.30	 12.60
M6-K-5.0-80k	  9.10	 10.30	  9.80
M6-K-5.0-100k	  7.70	  8.60	  8.20
M6-K-10.0-60k	 22.70	 25.50	 24.20
M6-K-10.0-80k	 18.80	 21.10	 20.00
M6-K-10.0-100k	 16.40	 18.40	 17.50
M9-Z-1.0-60k	  3.30	  9.40	  3.40
M9-Z-1.0-80k	  2.00	  5.70	  2.10
M9-Z-1.0-100k	  1.40	  4.00	  1.50
M9-Z-5.0-60k	  5.80	 17.00	  6.10
M9-Z-5.0-80k	  4.40	 12.80	  4.60
M9-Z-5.0-100k	  3.70	 10.60	  3.90
M9-Z-10.0-60k	 12.20	 33.60	 12.70
M9-Z-10.0-80k	 10.00	 27.50	 10.40
M9-Z-10.0-100k	  8.60	 23.80	  9.00
M9-Y-1.0-60k	  4.20	  4.40	  4.30
M9-Y-1.0-80k	  2.70	  2.80	  2.70
M9-Y-1.0-100k	  1.90	  2.00	  1.90
M9-Y-5.0-60k	  6.90	  7.10	  7.00
M9-Y-5.0-80k	  5.30	  5.50	  5.40
M9-Y-5.0-100k	  4.50	  4.60	  4.50
M9-Y-10.0-60k	 11.90	 12.20	 12.00
M9-Y-10.0-80k	  9.90	 10.10	 10.00
M9-Y-10.0-100k	  8.50	  8.80	  8.60
M9-J-1.0-60k	  5.70	 18.90	  6.00
M9-J-1.0-80k	  3.60	 11.90	  3.80
M9-J-1.0-100k	  2.60	  8.50	  2.70
M9-J-5.0-60k	  9.50	 31.50	 10.10
M9-J-5.0-80k	  7.30	 24.20	  7.70
M9-J-5.0-100k	  6.10	 20.30	  6.50
M9-J-10.0-60k	 17.80	 57.50	 18.80
M9-J-10.0-80k	 14.70	 47.30	 15.60
M9-J-10.0-100k	 12.80	 41.10	 13.60
M9-H-1.0-60k	  4.70	  5.10	  4.80
M9-H-1.0-80k	  3.20	  3.40	  3.30
M9-H-1.0-100k	  2.40	  2.60	  2.50
M9-H-5.0-60k	  7.40	  8.10	  7.70
M9-H-5.0-80k	  5.80	  6.30	  6.00
M9-H-5.0-100k	  4.90	  5.30	  5.00
M9-H-10.0-60k	 13.90	 15.10	 14.50
M9-H-10.0-80k	 11.50	 12.50	 12.00
M9-H-10.0-100k	 10.10	 10.90	 10.40
M9-K-1.0-60k	  5.50	  6.20	  5.90
M9-K-1.0-80k	  3.70	  4.20	  4.00
M9-K-1.0-100k	  2.80	  3.20	  3.00
M9-K-5.0-60k	  9.00	 10.10	  9.60
M9-K-5.0-80k	  6.90	  7.80	  7.40
M9-K-5.0-100k	  5.90	  6.60	  6.20
M9-K-10.0-60k	 17.10	 19.30	 18.30
M9-K-10.0-80k	 14.20	 16.00	 15.10
M9-K-10.0-100k	 12.40	 14.00	 13.20
